model,predicate_local,predicate_uri,edge_count
0000_Merged.rdf,rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,773
0000_Merged.rdf,label,http://www.w3.org/2000/01/rdf-schema#label,1460
0000_Merged.rdf,first,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,773
0000_Merged.rdf,contributor,http://purl.org/dc/terms/contributor,19
0000_Merged.rdf,example,http://www.w3.org/2004/02/skos/core#example,315
0000_Merged.rdf,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2121
0000_Merged.rdf,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,267
0000_Merged.rdf,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,974
0000_Merged.rdf,primitiveRationale,https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/primitiveRationale,43
0000_Merged.rdf,comment,http://www.w3.org/2000/01/rdf-schema#comment,398
0000_Merged.rdf,subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,319
0000_Merged.rdf,domain,http://www.w3.org/2000/01/rdf-schema#domain,286
0000_Merged.rdf,date,http://purl.org/dc/elements/1.1/date,1
0000_Merged.rdf,intersectionOf,http://www.w3.org/2002/07/owl#intersectionOf,204
0000_Merged.rdf,someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,327
0000_Merged.rdf,synonym,https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/synonym,28
0000_Merged.rdf,onProperty,http://www.w3.org/2002/07/owl#onProperty,386
0000_Merged.rdf,inSubset,http://www.geneontology.org/formats/oboInOwl#inSubset,24
0000_Merged.rdf,domainIncludes,https://schema.org/domainIncludes,36
0000_Merged.rdf,rangeIncludes,https://schema.org/rangeIncludes,24
0000_Merged.rdf,term_status,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,36
0000_Merged.rdf,allValuesFrom,http://www.w3.org/2002/07/owl#allValuesFrom,48
0000_Merged.rdf,usageNote,https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/usageNote,32
0000_Merged.rdf,semiFormalNaturalLanguageDefinition,https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/semiFormalNaturalLanguageDefinition,35
0000_Merged.rdf,firstOrderLogicAxiom,https://spec.industrialontologies.org/ontology/core/meta/AnnotationVocabulary/firstOrderLogicAxiom,169
0000_Merged.rdf,definition,http://www.w3.org/2004/02/skos/core#definition,299
