model_A,model_B,total,content_cos,typed_edge_cos,edge_sets_jaccard,struct_sim
Building_05_DG.rdf,Building_06_DG.rdf,0.8673059995815113,0.999336688234442,0.8380323262147589,0.0059171597633136,0.9982670297297392
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.7336588872884666,0.9061031718554612,0.3206736856635662,0.0,0.9942329964977876
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.6992040344496472,0.9023381958595332,0.1699925583778264,0.0,0.9862601600405548
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.6867275220081981,0.9074481873528512,0.4655520077918191,0.0,0.8034566606099471
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.6841456991775889,0.9017140352049376,0.5800988027736782,0.0,0.74402932015343
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.6763408263504991,0.9036773327104476,0.3584272973592597,0.0,0.8338804176637821
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.6762925275732725,0.9160577549579134,0.0073760054294924,0.0,1.0
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.6502043938855716,0.998398347950789,0.0856636121741107,0.0,0.8338804176637821
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.635251412444875,0.9968966463588872,0.07399877146615,0.0,0.8034566606099471
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.5685995775147706,0.9003121591925124,0.0044710084782246,0.0,0.74402932015343
