model_A,model_B,total,content_cos,typed_edge_cos,edge_sets_jaccard,struct_sim
Building_05_DG.rdf,Building_06_DG.rdf,0.4679991876896157,0.999336688234442,0.8380323262147589,0.0059171597633136,0.0
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.3865339711162169,0.9017140352049376,0.5800988027736782,0.0,0.0
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.36534485776421916,0.9074481873528512,0.4655520077918191,0.0,0.0
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.3427886592849862,0.9036773327104476,0.3584272973592597,0.0,0.0
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.33596568868935156,0.9061031718554612,0.3206736856635662,0.0,0.0
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.3166522268200588,0.998398347950789,0.0856636121741107,0.0,0.0
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.31386874820089616,0.9968966463588872,0.07399877146615,0.0,0.0
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.3046999704334252,0.9023381958595332,0.1699925583778264,0.0,0.0
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.2762925275732725,0.9160577549579134,0.0073760054294924,0.0,0.0
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.2709878494533986,0.9003121591925124,0.0044710084782246,0.0,0.0
