model_a,model_b,content_cosine
Building_05_DG.rdf,Building_06_DG.rdf,0.9993366882344419
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.9968966463588873
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.9061031718554613
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.9074481873528513
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.998398347950789
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.9023381958595332
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.9036773327104476
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.9003121591925124
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.9160577549579134
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.9017140352049376
