name,type,default,range/choices,where_defined,where_used(paths:lines),effect_on_metrics,safety_checks
content_cos,str,,,combine_total_similarity.py,,,
typed_cos,str,,,combine_total_similarity.py,,,
edge_jaccard,str,,,combine_total_similarity.py,,,
motif_final,str,,,combine_total_similarity.py,,,
w_content,float,0.30,,combine_total_similarity.py,,,
w_typed,float,0.20,,combine_total_similarity.py,,,
w_edge,float,0.10,,combine_total_similarity.py,,,
w_motif,float,0.40,,combine_total_similarity.py,,,
out_dir,str,"os.path.join("".""",,combine_total_similarity.py,,,
total_dir,str,"r"".\repro_pack\output\06 - Total_Similarity""",,compute_similarity.py,,,
struct_dir,str,"r"".\repro_pack\output\07 - Structural_Extension_v25p2""",,compute_similarity.py,,,
dir,str,,,export_m5_to_long.py,,,
in_long,str,"""struct_motif_shares_long.csv""",,export_m5_to_long.py,,,
in_func_wide,str,"""struct_functions_shares_wide.csv""",,export_m5_to_long.py,,,
out_long,str,"""struct_motif_shares_long_m5.csv""",,export_m5_to_long.py,,,
overwrite,str,,,export_m5_to_long.py,,,
feat_dir,str,"os.path.join("".""",,pairwise_diffs_content.py,,,
sim_dir,str,"os.path.join("".""",,pairwise_diffs_content.py,,,
out_dir,str,"os.path.join("".""",,pairwise_diffs_content.py,,,
topk,int,20,,pairwise_diffs_content.py,,,
pairs,str,"""""",,pairwise_diffs_content.py,,,
feat_dir,str,"os.path.join("".""",,pairwise_diffs_edge_sets.py,,,
out_dir,str,"os.path.join("".""",,pairwise_diffs_edge_sets.py,,,
pairs,str,"""""",,pairwise_diffs_edge_sets.py,,,
topk,int,25,,pairwise_diffs_edge_sets.py,,,
feat_dir,str,"os.path.join("".""",,pairwise_diffs_typed_edge.py,,,
sim_dir,str,"os.path.join("".""",,pairwise_diffs_typed_edge.py,,,
out_dir,str,"os.path.join("".""",,pairwise_diffs_typed_edge.py,,,
topk,int,40,,pairwise_diffs_typed_edge.py,,,
pairs,str,"""""",,pairwise_diffs_typed_edge.py,,,
input_dir,str,,,structural_extension.py,,,
pattern,str,"""*_DG.rdf""",,structural_extension.py,,,
out_root,str,,,structural_extension.py,,,
out_name,str,"""07 - Structural_Extension""",,structural_extension.py,,,
beta1,float,0.7,,structural_extension.py,,,
beta2,float,0.3,,structural_extension.py,,,
input_dir,str,,,structural_extension_v24.py,,,
pattern,str,"""*_DG.rdf""",,structural_extension_v24.py,,,
out_root,str,,,structural_extension_v24.py,,,
out_name,str,"""07 - Structural_Extension""",,structural_extension_v24.py,,,
beta1,float,0.7,,structural_extension_v24.py,,,
beta2,float,0.3,,structural_extension_v24.py,,,
input_dir,str,,,structural_extension_v25.py,,,
pattern,str,"""*_DG.rdf""",,structural_extension_v25.py,,,
out_root,str,,,structural_extension_v25.py,,,
out_name,str,"""07 - Structural_Extension_v25""",,structural_extension_v25.py,,,
