class,count
http://www.w3.org/2002/07/owl#Class,7056
http://www.w3.org/2002/07/owl#Restriction,2316
http://www.w3.org/2002/07/owl#ObjectProperty,1968
http://www.w3.org/2002/07/owl#AnnotationProperty,582
http://qudt.org/schema/qudt/QuantityValue,562
http://quantecton.com/kb/BuildingDesign#ExteriorWall,485
http://quantecton.com/kb/BuildingDesign#Reinforcement,403
http://quantecton.com/kb/BuildingDesign#WallOpening,403
https://spec.industrialontologies.org/ontology/core/Core/MeasuredValueExpression,349
http://www.w3.org/2002/07/owl#TransitiveProperty,288
http://quantecton.com/kb/building_material_category#HeatTransferCoefficient,281
http://quantecton.com/kb/building_material_category#ThermalMass,281
http://quantecton.com/kb/building_material_category#ThermalResistance,281
http://quantecton.com/kb/BuildingDesign#Door,274
http://quantecton.com/kb/concrete_composition_and_property#PortionOfHardenedConcrete,258
https://w3id.org/bot#Space,239
http://quantecton.com/kb/BuildingDesign#InteriorWall,217
http://quantecton.com/kb/BuildingDesign#Wall,181
http://quantecton.com/kb/BuildingDesign#LoadBearingFunction,174
http://www.w3.org/2002/07/owl#Axiom,162
http://www.w3.org/2002/07/owl#FunctionalProperty,144
http://quantecton.com/kb/BuildingDesign#Window,117
http://quantecton.com/kb/BuildingDesign#ArchitecturalColumn,73
http://quantecton.com/kb/BuildingDesign#Bathroom,72
http://www.w3.org/2002/07/owl#DatatypeProperty,72
http://quantecton.com/kb/building_material_category#FireResistance,68
http://www.w3.org/2002/07/owl#SymmetricProperty,54
http://quantecton.com/kb/BuildingDesign#CurtainWall,53
http://quantecton.com/kb/BuildingDesign#StructuralFunction,43
http://www.w3.org/2002/07/owl#AllDisjointClasses,36
https://w3id.org/bot#Storey,26
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,24
http://quantecton.com/kb/BuildingDesign#FloorSlab,22
http://quantecton.com/kb/BuildingDesign#Stair,20
http://quantecton.com/kb/BuildingDesign#StructuralColumn,18
http://quantecton.com/kb/BuildingDesign#Bedroom,15
http://www.w3.org/2000/01/rdf-schema#Datatype,12
http://qudt.org/schema/qudt/Unit,10
http://quantecton.com/kb/BuildingDesign#Corridor,9
http://quantecton.com/kb/BuildingDesign#ShaftOpening,8
http://quantecton.com/kb/BuildingDesign#LivingRoom,6
http://www.w3.org/2002/07/owl#AsymmetricProperty,6
http://www.w3.org/2002/07/owl#Ontology,6
https://w3id.org/bot#Building,5
http://quantecton.com/kb/BuildingDesign#KitchenAndDiningRoom,4
http://quantecton.com/kb/BuildingDesign#Stairwell,4
http://quantecton.com/kb/BuildingDesign#BaseSlab,3
http://quantecton.com/kb/BuildingDesign#Kitchen,2
