model,motif,share
Building_05_DG.rdf,M2_frameNode,0.0
Building_05_DG.rdf,M3_wallSlab,0.0
Building_05_DG.rdf,M4_core,0.0
Building_05_DG.rdf,M2b_braceNode,0.0
Building_05_DG.rdf,M5_LB,0.0
Building_05_DG.rdf,M5_Shear,0.0
Building_05_DG.rdf,M5_Moment,0.0
Building_05_DG.rdf,M5_Bracing,0.0
Building_06_DG.rdf,M2_frameNode,0.0
Building_06_DG.rdf,M3_wallSlab,0.0
Building_06_DG.rdf,M4_core,0.0
Building_06_DG.rdf,M2b_braceNode,0.0
Building_06_DG.rdf,M5_LB,0.0
Building_06_DG.rdf,M5_Shear,0.0
Building_06_DG.rdf,M5_Moment,0.0
Building_06_DG.rdf,M5_Bracing,0.0
Freiform_Haus_DG.rdf,M2_frameNode,0.0
Freiform_Haus_DG.rdf,M3_wallSlab,0.0
Freiform_Haus_DG.rdf,M4_core,0.0
Freiform_Haus_DG.rdf,M2b_braceNode,0.0
Freiform_Haus_DG.rdf,M5_LB,0.0
Freiform_Haus_DG.rdf,M5_Shear,0.0
Freiform_Haus_DG.rdf,M5_Moment,0.0
Freiform_Haus_DG.rdf,M5_Bracing,0.0
Option03_Revising_DG.rdf,M2_frameNode,0.0
Option03_Revising_DG.rdf,M3_wallSlab,0.0
Option03_Revising_DG.rdf,M4_core,0.0
Option03_Revising_DG.rdf,M2b_braceNode,0.0
Option03_Revising_DG.rdf,M5_LB,0.0
Option03_Revising_DG.rdf,M5_Shear,0.0
Option03_Revising_DG.rdf,M5_Moment,0.0
Option03_Revising_DG.rdf,M5_Bracing,0.0
Option04_Rev03_DG.rdf,M2_frameNode,0.0
Option04_Rev03_DG.rdf,M3_wallSlab,0.0
Option04_Rev03_DG.rdf,M4_core,0.0
Option04_Rev03_DG.rdf,M2b_braceNode,0.0
Option04_Rev03_DG.rdf,M5_LB,0.0
Option04_Rev03_DG.rdf,M5_Shear,0.0
Option04_Rev03_DG.rdf,M5_Moment,0.0
Option04_Rev03_DG.rdf,M5_Bracing,0.0
